<UNK> 1.0	SPN
a 1.0	aa 
a 1.0	ɑ  
à 1.0	aa 
à 1.0	ɑ  
aa 1.0	aa aa 
aa 1.0	ɑ  ɑ  
aaa 1.0	aa aa aa 
aaa 1.0	ɑ  ɑ  ɑ  
aba 1.0	aa bb aa 
aba 1.0	ɑ  b  ɑ  
abîmes 1.0	aa bb ii mm 
abîmes 1.0	aa bb ii mm zz 
abîmes 1.0	ɑ  b  i  m  
abîmes 1.0	ɑ  b  i  m  z  
abitiyé 1.0	aa bb ii tt ii yy ei 
abitiyé 1.0	ɑ  b  i  t  i  j  e  
abityé 1.0	aa bb ii tt yy ei 
abityé 1.0	ɑ  b  i  t  j  e  
abityèlman 1.0	aa bb ii tt yy ai ll mm an 
abityèlman 1.0	aa bb ii tt yy ai ll mm an nn 
abityèlman 1.0	ɑ  b  i  t  j  ɛ  l  m  ɑ̃  
abityèlman 1.0	ɑ  b  i  t  j  ɛ  l  m  ɑ̃  n  
abiyé 1.0	aa bb ii yy ei 
abiyé 1.0	ɑ  b  i  j  e  
abo 1.0	aa bb au 
abo 1.0	ɑ  b  o  
abon 1.0	aa bb on 
abon 1.0	aa bb on nn 
abon 1.0	ɑ  b  ɔ̃  
abon 1.0	ɑ  b  ɔ̃  n  
accord 1.0	aa kk oo rr 
accord 1.0	aa kk oo rr tt 
accord 1.0	ɑ  k  ɔ  ʁ  
accord 1.0	ɑ  k  ɔ  ʁ  t  
achté 1.0	aa kk tt ei 
achté 1.0	ɑ  k  t  e  
actes 1.0	aa kk tt 
actes 1.0	aa kk tt zz 
actes 1.0	ɑ  k  t  
actes 1.0	ɑ  k  t  z  
action 1.0	aa kk ss yy on 
action 1.0	aa kk ss yy on nn 
action 1.0	ɑ  k  s  j  ɔ̃  
action 1.0	ɑ  k  s  j  ɔ̃  n  
actions 1.0	aa kk ss yy on 
actions 1.0	aa kk ss yy on zz 
actions 1.0	ɑ  k  s  j  ɔ̃  
actions 1.0	ɑ  k  s  j  ɔ̃  z  
