# gunzip -c exp/tri2/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 14:05:20 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 50.6488549618% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 55.4678247138% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 50.6% of phone occurrences, with duration (median, mean, 95-percentile) is (33,44.5,133) frames.
At utterance begin, nonsilence accounts for 47.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,12.5,50) frames.
At utterance begin, e_S accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,15.4,42) frames.
At utterance begin, s_B accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,19) frames.
At utterance begin, ei_S accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (29,40.3,110) frames.
At utterance begin, k_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.7,8) frames.
At utterance begin, SPN_S accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,21.8,66) frames.
At utterance begin, m_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,11) frames.
At utterance begin, d_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,16) frames.
At utterance begin, p_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,3.8,5) frames.
At utterance begin, t_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.8,8) frames.
At utterance begin, pp_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,10) frames.
At utterance begin, ɑ_S accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,9.5,30) frames.
At utterance begin, ɑ̃_S accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
At utterance begin, mm_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,23.6,52) frames.
At utterance begin, tt_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,11) frames.
At utterance begin, ɑ_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.2,16) frames.
At utterance begin, ɑ̃_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,14.9,23) frames.
At utterance begin, yy_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.6,24) frames.
At utterance begin, kk_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,13) frames.
At utterance begin, ll_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.7,15) frames.
At utterance begin, n_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, nn_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,16) frames.
At utterance begin, l_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.9,11) frames.
At utterance begin, ss_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.1,15) frames.
At utterance begin, i_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,11.6,45) frames.
At utterance begin, an_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (22,22.0,59) frames.
At utterance begin, ɛ_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,10) frames.
At utterance begin, dd_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.4,16) frames.
At utterance end, SIL accounts for 55.5% of phone occurrences, with duration (median, mean, 95-percentile) is (28,47.1,153) frames.
