# gunzip -c exp/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/mono/graph 
# Started at Fri Mar 12 17:38:24 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 43.1906614786% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 35.8478802993% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 56.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,18) frames.
At utterance begin, SIL accounts for 43.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.9,34) frames.
At utterance begin, kk_B accounts for 9.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
At utterance begin, pp_B accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,10) frames.
At utterance begin, an_S accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.8,21) frames.
At utterance begin, ss_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,17) frames.
At utterance begin, mm_B accounts for 3.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,17) frames.
At utterance begin, ai_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,13) frames.
At utterance begin, ll_B accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,9) frames.
At utterance begin, tt_B accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,12) frames.
At utterance begin, dd_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,14) frames.
At utterance begin, an_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,18) frames.
At utterance begin, oe_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.2,38) frames.
At utterance begin, aa_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,14) frames.
At utterance begin, bb_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,10) frames.
At utterance begin, aa_S accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.5,30) frames.
At utterance begin, nn_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,20) frames.
At utterance begin, jj_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,16) frames.
At utterance begin, vv_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
At utterance begin, ff_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.1,21) frames.
At utterance begin, ou_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.3,26) frames.
At utterance begin, ww_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,14) frames.
At utterance end, nonsilence accounts for 64.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.3,24) frames.
At utterance end, SIL accounts for 35.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,16.6,47) frames.
At utterance end, aa_E accounts for 17.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,19) frames.
At utterance end, ii_E accounts for 9.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.1,24) frames.
At utterance end, nn_E accounts for 8.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.4,38) frames.
At utterance end, ou_E accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,15) frames.
At utterance end, mm_E accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,17) frames.
At utterance end, ei_E accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,17) frames.
At utterance end, an_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.8,24) frames.
At utterance end, on_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,17) frames.
At utterance end, ss_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.2,22) frames.
At utterance end, au_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,18.2,51) frames.
At utterance end, ee_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,13.4,21) frames.
At utterance end, ll_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
At utterance end, kk_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,9) frames.
At utterance end, zz_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.5,20) frames.
At utterance end, an_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.8,19) frames.
At utterance end, tt_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,16) frames.
Overall, nonsilence accounts for 73.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,21) frames.
Overall, SIL accounts for 26.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.8,40) frames.
Overall, aa_E accounts for 6.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.0,19) frames.
Overall, kk_B accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,13) frames.
Overall, ii_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.0,28) frames.
Overall, nn_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.0,40) frames.
Overall, pp_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,10) frames.
Overall, an_S accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,21) frames.
Overall, ll_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, ss_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,18) frames.
Overall, an_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, tt_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,12) frames.
Overall, aa_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, mm_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.6,27) frames.
Overall, ai_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,13) frames.
Overall, mm_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,18) frames.
Overall, ii_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, ou_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,18) frames.
Overall, dd_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,14) frames.
Overall, an_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,18) frames.
Overall, ei_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.8,35) frames.
Overall, ss_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.0,25) frames.
Overall, rr_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,15) frames.
Overall, an_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,23) frames.
Overall, on_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,14) frames.
Overall, ss_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,18) frames.
Overall, oe_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.5,38) frames.
Overall, ww_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, tt_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,18) frames.
Overall, ll_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, bb_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,10) frames.
Overall, ai_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,9) frames.
Overall, aa_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.9,37) frames.
Overall, aa_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,17) frames.
Overall, kk_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, zz_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.4,23) frames.
Overall, ou_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,13) frames.
Overall, mm_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,12) frames.
Overall, jj_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.4,19) frames.
Overall, on_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.4,20) frames.
Overall, nn_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,23) frames.
Overall, oo_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,13) frames.
Overall, ee_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.0,29) frames.
Overall, ff_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.2,20) frames.
Overall, tt_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.7,18) frames.
Overall, vv_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,12) frames.
The optional-silence phone SIL occupies 36.8% of frames overall 
Limiting the stats to the 30.4% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 2.8% of frames.
Assuming 100 frames per second, the alignments represent 0.2 hours of data, or 0.1 hours if SIL frames are excluded.
